Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.9,-72.75,180,top
C2,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.4,-72.75,180,top
C3,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,143.9,-72.75,180,top
C4,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,181.4,-72.75,180,top
C5,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,218.9,-72.75,180,top
C6,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,256.4,-72.75,180,top
C7,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,293.9,-72.75,180,top
C8,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,331.4,-72.75,180,top
C9,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.9,-110.25,0,top
C10,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.4,-110.25,0,top
C11,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,143.9,-110.25,0,top
C12,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,181.4,-110.25,0,top
C13,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,218.9,-110.25,0,top
C14,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,256.4,-110.25,0,top
C15,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,293.9,-110.25,0,top
C16,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,331.4,-110.25,0,top
C17,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.9,-147.75,0,top
C18,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.4,-147.75,0,top
C19,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,143.9,-147.75,0,top
C20,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,181.4,-147.75,0,top
C21,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,218.9,-147.75,0,top
C22,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,256.4,-147.75,0,top
C23,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,293.9,-147.75,0,top
C24,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,331.4,-147.75,0,top
C25,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.9,-185.25,0,top
