Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-493.635000,0.000000,top
"C2","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-496.985000,0.000000,top
"C3","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-500.335000,0.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-503.685000,0.000000,top
"C5","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-507.035000,0.000000,top
"C6","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-510.385000,0.000000,top
"C7","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-513.735000,0.000000,top
"C8","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-517.085000,0.000000,top
"C9","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-520.435000,0.000000,top
"C10","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-523.785000,0.000000,top
"C11","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.255000,-527.135000,0.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-493.635000,0.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-496.985000,0.000000,top
"C14","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-500.335000,0.000000,top
"C15","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-503.685000,0.000000,top
"C16","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-507.035000,0.000000,top
"C17","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-510.385000,0.000000,top
"C18","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-513.735000,0.000000,top
"C19","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-517.085000,0.000000,top
"C20","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-520.435000,0.000000,top
"C21","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-523.785000,0.000000,top
"C22","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",121.265000,-527.135000,0.000000,top
"C23","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-493.635000,0.000000,top
"C24","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-496.985000,0.000000,top
"C25","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-500.335000,0.000000,top
"C26","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-503.685000,0.000000,top
"C27","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-507.035000,0.000000,top
"C28","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-510.385000,0.000000,top
"C29","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-513.735000,0.000000,top
"C30","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-517.085000,0.000000,top
"C31","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-520.435000,0.000000,top
"C32","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-523.785000,0.000000,top
"C33","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.275000,-527.135000,0.000000,top
"C34","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-493.635000,0.000000,top
"C35","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-496.985000,0.000000,top
"C36","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-500.335000,0.000000,top
"C37","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-503.685000,0.000000,top
"C38","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-507.035000,0.000000,top
"C39","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-510.385000,0.000000,top
"C40","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",133.285000,-513.735000,0.000000,top
